Organisation Name
AJMER DEVELOPMENT AUTHORITY
S.No e-Published Date Closing Date Opening Date Title and Ref.No./Tender ID Organisation Chain 
1 14-Oct-2020 12:05 PM 22-Oct-2020 04:00 PM 23-Oct-2020 05:00 PM [Requirement of 2 Urban Planners and 2 Architects for Planning Section in ADA, Ajmer through Contractor.] AJMER DEVELOPMENT AUTHORITY||SECRETARY 
2 12-Oct-2020 06:25 PM 23-Oct-2020 03:00 PM 23-Oct-2020 05:00 PM [Hiring of Charted Accountant for Financial Operations in ADA, Ajmer] AJMER DEVELOPMENT AUTHORITY||SECRETARY 
3 12-Oct-2020 04:30 PM 22-Oct-2020 03:00 PM 22-Oct-2020 05:00 PM [Supply work of Temporary Tent Work for ADA, Ajmer including Urs and Memorials] AJMER DEVELOPMENT AUTHORITY||SECRETARY 
4 12-Oct-2020 02:00 PM 22-Oct-2020 04:00 PM 22-Oct-2020 05:00 PM [AJMER DEVELOPMENT AUTHORITY AJMER KARYALAYA HETU PRITER KE TONER RIFLING AND REPRING KA KARYA] AJMER DEVELOPMENT AUTHORITY||SECRETARY 
5 12-Oct-2020 02:00 PM 22-Oct-2020 04:00 PM 22-Oct-2020 05:00 PM [ADA KE VAHAN 2 JCB,4 DOUMPER, IRUS MINI TRUCK, 2 INOVO, TATA SAFARI, SWIFT DESIRE, AMBESTOR CAR, THAR JEEP, MAHINDRA SCORPIO CONTRACT HETU] AJMER DEVELOPMENT AUTHORITY||SECRETARY 
undefined undefined undefined undefined undefined undefined 

Organisation Name
Ajmer VVNL - MD
S.No e-Published Date Closing Date Opening Date Title and Ref.No./Tender ID Organisation Chain 
1 17-Oct-2020 03:00 PM 26-Oct-2020 05:00 PM 27-Oct-2020 02:30 PM [SUPPLY OF SAFETY BELT AGAINST TN-1443] Ajmer VVNL - MD||CE (MM and O and M)||SE - MM||AEN 6 
2 16-Oct-2020 04:00 PM 21-Oct-2020 02:00 PM 22-Oct-2020 02:30 PM [SUPPLY OF FIBRE GLASS OPERATING ROD WITH EARTHING CONDUCTOR LEAD WITH TREE PRUNER UNDER TN 1441] Ajmer VVNL - MD||CE (MM and O and M)||SE - MM||AEN 6 
3 15-Oct-2020 06:55 PM 22-Oct-2020 02:00 PM 23-Oct-2020 03:00 PM [Earth Chain] Ajmer VVNL - MD||CE (MM and O and M)||SE - MM||AEN 6 
4 15-Oct-2020 05:00 PM 04-Nov-2020 03:00 PM 05-Nov-2020 03:00 PM [TESTING , SEALING, DATA] Ajmer VVNL - MD||CE (MM Project)||SE-TW||XEN 
5 09-Oct-2020 01:00 PM 20-Oct-2020 11:00 AM 20-Oct-2020 11:00 AM [Construction of chokidar hut loading and unloading platefrom levelling and gravelling work at sub division office campus babai] Ajmer VVNL - MD||CE-COMMERCIAL||SE-CIVIL AJMER||XEN 
6 09-Oct-2020 09:00 AM 19-Oct-2020 11:00 AM 20-Oct-2020 11:00 AM [Renovation of fire fighting system at ACOS store Nagaur] Ajmer VVNL - MD||CE-COMMERCIAL||SE-CIVIL AJMER||XEN 
7 09-Oct-2020 09:00 AM 20-Oct-2020 11:00 AM 21-Oct-2020 11:00 AM [Const of toilet for Sr ao Ta to zce and false ceiling in se chamber and misc civil work in zonal office campus jjn] Ajmer VVNL - MD||CE-COMMERCIAL||SE-CIVIL AJMER||XEN 
8 07-Oct-2020 05:00 PM 22-Oct-2020 11:00 AM 23-Oct-2020 11:00 AM [Extension of CC approach road at ACOS, Rajsamand] Ajmer VVNL - MD||CE-COMMERCIAL||SE-CIVIL AJMER||XEN 
9 07-Oct-2020 05:00 PM 22-Oct-2020 11:00 AM 23-Oct-2020 11:00 AM [Extension of Sub Division Office building at Madhuvan, Udaipur] Ajmer VVNL - MD||CE-COMMERCIAL||SE-CIVIL AJMER||XEN 
10 07-Oct-2020 02:30 PM 21-Oct-2020 11:00 AM 22-Oct-2020 11:00 AM [Const. of sub division of 33kv S/s building with B/Wall at Dholapani (Pratapgarh)] Ajmer VVNL - MD||CE-COMMERCIAL||SE-CIVIL AJMER||XEN 
11 06-Oct-2020 03:15 PM 19-Oct-2020 11:00 AM 20-Oct-2020 11:00 AM [Construction of shed at CTL Madar Ajmer] Ajmer VVNL - MD||CE-COMMERCIAL||SE-CIVIL AJMER||XEN 
12 06-Oct-2020 01:00 PM 19-Oct-2020 11:00 AM 20-Oct-2020 11:00 AM [Brooming and cleaning work for various offices at City Power House Ajmer] Ajmer VVNL - MD||CE-COMMERCIAL||SE-CIVIL AJMER||XEN 
13 06-Oct-2020 12:15 PM 19-Oct-2020 11:00 AM 20-Oct-2020 11:00 AM [SITC of passenger lift in office building G PLUS TWO at City Power House Ajmer] Ajmer VVNL - MD||CE-COMMERCIAL||SE-CIVIL AJMER||XEN 
14 05-Oct-2020 05:00 PM 28-Oct-2020 02:00 PM 29-Oct-2020 02:30 PM [WALL SUPPORT TYPE FIBRE GLASS FOLDABLE LADDER AGAINST TN-1445] Ajmer VVNL - MD||CE (MM and O and M)||SE - MM||AEN 6 
15 05-Oct-2020 05:00 PM 09-Nov-2020 02:00 PM 10-Nov-2020 02:30 PM [ISI MARKED HIGH VOLTAGE INSULATING MATS] Ajmer VVNL - MD||CE (MM and O and M)||SE - MM||AEN 6 
16 28-Sep-2020 06:00 PM 28-Oct-2020 06:00 PM 29-Oct-2020 03:00 PM [SUPPLY OF SAFETY HELMETS MOUNTED WITH ELECTRONIC INDUCTION TESTER and LED LIGHTS] Ajmer VVNL - MD||CE (MM Project)||SE- MM||XEN 
17 24-Sep-2020 06:00 PM 21-Oct-2020 06:00 PM 22-Oct-2020 03:00 PM [SUPPLY OF INSULATED RUBBER HAND GLOVES ] Ajmer VVNL - MD||CE (MM Project)||SE- MM||XEN 
